# Force coefficients    
# dragDir               : (9.8480778300336347e-01 1.7364800757855070e-01 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000002e+00)
# liftDir               : (-1.7364800757855070e-01 9.8480778300336336e-01 0.0000000000000000e+00)
# rollAxis              : (9.8480778300336347e-01 1.7364800757855070e-01 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000002e+00)
# yawAxis               : (-1.7364800757855070e-01 9.8480778300336336e-01 0.0000000000000000e+00)
# magUInf               : 1.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 -5.0000000000000000e-01)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
45                      	1.3521069536272307e-01	4.1670193261828808e-22	1.1142599089225356e+00	-1.1142599089225356e+00	-1.1240427548027827e-01	1.3521069536272307e-01	-1.0466545612411740e+00	1.1818652566038972e+00	1.3521069536272307e-01	-1.3521069536272307e-01	4.4472567898098952e-01	6.6953422994154610e-01
46                      	1.3440670511508238e-01	4.3930334779459097e-22	1.1198011963837351e+00	-1.1198011963837353e+00	-1.1108961447685728e-01	1.3440670511508240e-01	-1.0525978438261940e+00	1.1870045489412766e+00	1.3440670511508240e-01	-1.3440670511508240e-01	4.4881098371501027e-01	6.7099021266872483e-01
47                      	1.3358451330412069e-01	4.6244573994791644e-22	1.1252087194623108e+00	-1.1252087194623110e+00	-1.0976555477936796e-01	1.3358451330412069e-01	-1.0584164628102508e+00	1.1920009761143713e+00	1.3358451330412069e-01	-1.3358451330412069e-01	4.5283880495178747e-01	6.7236991451052341e-01
48                      	1.3282513295745316e-01	4.8624340722855061e-22	1.1307737407824250e+00	-1.1307737407824252e+00	-1.0846370751774465e-01	1.3282513295745316e-01	-1.0643611743036987e+00	1.1971863072611517e+00	1.3282513295745316e-01	-1.3282513295745316e-01	4.5692316287346785e-01	6.7385057790895719e-01
49                      	1.3218035930700481e-01	5.1053467809445134e-22	1.1362914864069886e+00	-1.1362914864069886e+00	-1.0720115449211572e-01	1.3218035930700481e-01	-1.0702013067534861e+00	1.2023816660604911e+00	1.3218035930700481e-01	-1.3218035930700481e-01	4.6094458871137861e-01	6.7534689769561007e-01
50                      	1.3166714373127217e-01	5.3510945431338951e-22	1.1418112323058591e+00	-1.1418112323058591e+00	-1.0597747200749086e-01	1.3166714373127220e-01	-1.0759776604402231e+00	1.2076448041714951e+00	1.3166714373127220e-01	-1.3166714373127220e-01	4.6492814414543870e-01	6.7688308816042042e-01
51                      	1.3118856844450030e-01	5.5981401721393503e-22	1.1472382913827579e+00	-1.1472382913827579e+00	-1.0478319908629644e-01	1.3118856844450028e-01	-1.0816440071605078e+00	1.2128325756050080e+00	1.3118856844450028e-01	-1.3118856844450028e-01	4.6883594660508254e-01	6.7840234477767536e-01
52                      	1.3066454904211502e-01	5.8427458537238083e-22	1.1525520988561122e+00	-1.1525520988561122e+00	-1.0362698807652931e-01	1.3066454904211502e-01	-1.0872198243350546e+00	1.2178843733771698e+00	1.3066454904211502e-01	-1.3066454904211502e-01	4.7264906135152679e-01	6.7990303750458536e-01
53                      	1.3008764152353175e-01	6.0848169235400136e-22	1.1579963783727576e+00	-1.1579963783727578e+00	-1.0251411069353850e-01	1.3008764152353172e-01	-1.0929525576109920e+00	1.2230401991345237e+00	1.3008764152353172e-01	-1.3008764152353172e-01	4.7648407849284030e-01	6.8151229987991724e-01
54                      	1.2944480367611069e-01	6.3215893161889953e-22	1.1635273416485448e+00	-1.1635273416485445e+00	-1.0147600873254868e-01	1.2944480367611066e-01	-1.0988049398104891e+00	1.2282497434866000e+00	1.2944480367611066e-01	-1.2944480367611066e-01	4.8028766209172369e-01	6.8323967955682108e-01
55                      	1.2870226327347928e-01	6.5508730626960770e-22	1.1692873517425548e+00	-1.1692873517425548e+00	-1.0052159136979948e-01	1.2870226327347928e-01	-1.1049362201058153e+00	1.2336384833792944e+00	1.2870226327347928e-01	-1.2870226327347928e-01	4.8412208450147792e-01	6.8516526724107685e-01
56                      	1.2785301328382995e-01	6.7708507087874901e-22	1.1752777317854453e+00	-1.1752777317854453e+00	-9.9669949735546146e-02	1.2785301328382995e-01	-1.1113512251435302e+00	1.2392042384273603e+00	1.2785301328382995e-01	-1.2785301328382995e-01	4.8796891615717647e-01	6.8730881562826873e-01
57                      	1.2690058414066288e-01	6.9773060480924168e-22	1.1813903585366106e+00	-1.1813903585366106e+00	-9.8919247833132148e-02	1.2690058414066291e-01	-1.1179400664662791e+00	1.2448406506069420e+00	1.2690058414066291e-01	-1.2690058414066291e-01	4.9177593143517312e-01	6.8961442710143739e-01
58                      	1.2586765167244779e-01	7.1741943124730295e-22	1.1880859637768846e+00	-1.1880859637768844e+00	-9.8283292839512107e-02	1.2586765167244779e-01	-1.1251521379406604e+00	1.2510197896131083e+00	1.2586765167244779e-01	-1.2586765167244779e-01	4.9575968904893020e-01	6.9232627472795438e-01
