# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
57                      	smoothSolver	7.2889954556268892e-06	2.3121261086488719e-07	2	9.7787239985238070e-06	3.8039872857966672e-07	2	false	smoothSolver	2.1333638237197201e-07	2.0907050958911771e-08	1	true	GAMG	8.2923509614910484e-05	8.2897508526293919e-06	15	true	smoothSolver	3.0443675045088490e-09	2.4156006024915150e-10	1	true
58                      	smoothSolver	7.3925078241258864e-06	2.3398310405543769e-07	2	1.0150936691873619e-05	3.8983514208934060e-07	2	false	smoothSolver	2.1208232846729159e-07	2.0550924128128889e-08	1	true	GAMG	8.2309437740456405e-05	8.2190667626832034e-06	15	true	smoothSolver	2.9748240287014032e-09	2.3433635616676538e-10	1	true
59                      	smoothSolver	7.4282323939108793e-06	2.3767209049129260e-07	2	1.0360814273963921e-05	3.9965724366735669e-07	2	false	smoothSolver	2.1068426055623211e-07	2.0155110905888062e-08	1	true	GAMG	8.2279917561665160e-05	7.7508965775457573e-06	15	true	smoothSolver	2.8539648815490270e-09	2.2721056977944970e-10	1	true
60                      	smoothSolver	7.4940145671726928e-06	2.3940638452290971e-07	2	1.0656306758797560e-05	4.0954979686354258e-07	2	false	smoothSolver	2.0913146347362880e-07	1.9745415794418161e-08	1	true	GAMG	8.1052770157092867e-05	7.4743052495355836e-06	15	true	smoothSolver	2.7615751794590759e-09	2.2035315426849359e-10	1	true
61                      	smoothSolver	7.5303118872040030e-06	2.4312474812486339e-07	2	1.0900675736483850e-05	4.1964518122008681e-07	2	false	smoothSolver	2.0651666074120760e-07	1.9284518169133519e-08	1	true	GAMG	8.0033967152164898e-05	7.0731379531274912e-06	15	true	smoothSolver	2.6934376801096980e-09	2.1377486727647261e-10	1	true
62                      	smoothSolver	7.5988466729842090e-06	2.4410258447378192e-07	2	1.1216883135302020e-05	4.3050768299014177e-07	2	false	smoothSolver	2.0307608669480451e-07	1.8751889449730839e-08	1	true	GAMG	7.8447875828785909e-05	7.6967788503088188e-06	14	true	smoothSolver	2.6020813317455439e-09	2.0737115344166139e-10	1	true
63                      	smoothSolver	7.6250306007598316e-06	2.4781137540577638e-07	2	1.1451769591675920e-05	4.4073759426029499e-07	2	false	smoothSolver	1.9902357700305951e-07	1.8201284371684579e-08	1	true	GAMG	7.7917036199686375e-05	6.8588410780609953e-06	15	true	smoothSolver	2.5206492744841860e-09	2.0119493762458250e-10	1	true
64                      	smoothSolver	7.6923397865193626e-06	2.5041472912485269e-07	2	1.1807396487548690e-05	4.5206451396618301e-07	2	false	smoothSolver	1.9401906403214131e-07	1.7644612384120801e-08	1	true	GAMG	7.4887212437905391e-05	7.4029989576004282e-06	13	true	smoothSolver	2.4483562826349478e-09	1.9537946995685890e-10	1	true
65                      	smoothSolver	7.7441928664142919e-06	2.5067526243767361e-07	2	1.2105357838993649e-05	4.6380243473142698e-07	2	false	smoothSolver	1.8802951990357009e-07	1.7120058022019080e-08	1	true	GAMG	7.3417610467296741e-05	6.5127929134066780e-06	15	true	smoothSolver	2.3917604835446998e-09	1.8972976219393961e-10	1	true
66                      	smoothSolver	7.7778192276513114e-06	2.5519084139104968e-07	2	1.2414357550417000e-05	4.7535473386940642e-07	2	false	smoothSolver	1.8089808173038721e-07	1.6595088073089589e-08	1	true	GAMG	7.0118178433408709e-05	6.8899840923566072e-06	13	true	smoothSolver	2.3164088097035638e-09	1.8442668780437060e-10	1	true
